Palabra, Ocurrencias
ring,7
rin,0
rim,0
undrawe,0
rigidly,0
stare,2
rigid,2
topmost,0
rightly,0
rightful,0
speedily,1
seeme,0
right,32
rifle,0
riding,0
ridiculous,2
virgin,0
riddle,1
riddance,0
rid,0
rick,0
richly,0
riches,0
rib,0
ri,0
rhyme,0
rheume,0
rheum,0
reynol,0
reward,0
rew,0
shillings,0
revulsion,0
scimitar,0
revolutionary,0
revolt,0
revise,0
revert,0
sweetness,0
reversion,0
reverse,1
reverently,2
reverend,0
reverence,0
reverberate,0
revengeful,0
revels,0
revelation,0
revel,1
wild,2
shelving,0
reuolution,0
reunite,0
wrong,4
reuerend,0
reuenge,0
reueale,0
style,1
souldiours,0
retyrement,0
st,2
returned,1
returne,0
return,36
retrospectively,0
retrospect,0
retrieve,0
retributive,0
retribution,0
sivin,0
scarsely,0
retreated,0
retrace,0
retooke,0
retirement,1
retired,0
somthe,0
retire,3
retinue,0
retentive,1
retake,0
retainer,0
stab,0
retaine,0
resumption,0
stupefy,0
spending,0
resume,4
result,1
vision,2
restraint,0
restrain,0
restlessness,0
restless,5
restitution,0
resting,0
responsive,0
response,0
spiritual,0
respond,0
squire,0
respectin,0
respectful,0
ruefulness,0
respected,0
respectability,0
resource,1
resoundingly,0
resounding,0
woful,0
resort,3
resolve,4
resolute,1
resolue,0
resistless,0
resin,0
resignedly,0
resignation,0
residence,1
reside,0
reservoir,0
reserved,0
sauagene,0
reservation,0
reserue,0
resented,0
resent,0
resend,0
resemblance,0
reseat,0
research,2
rescue,0
xlv,0
requite,0
requisition,0
requiem,0
sojourn,0
requested,0
request,1
repute,1
repulsive,0
repulse,1
repugnant,0
republicans,0
teel,0
republic,0
reproach,1
reprieve,0
repressed,0
temptation,0
survive,3
represented,0
representation,1
represent,1
xlvi,0
repliest,0
replication,0
replete,1
replenish,1
replace,1
repetition,0
repell,0
repeater,1
repay,0
repasse,0
reparable,0
topic,0
repaire,0
renunciation,0
rent,0
renowne,0
tablet,0
renown,0
renounce,0
renish,0
rendeuous,0
rendering,0
render,2
scrag,0
rend,0
rename,1
removed,0
told,0
removal,0
remoue,0
remotely,0
remote,0
subornation,0
remorselesse,0
remorseless,0
remonstrate,1
remodelle,0
remit,0
throttle,0
remisse,0
reminder,0
remind,1
wedlock,0
vnbaite,0
remembre,0
remembraunce,0
rememb,0
remedy,1
remedie,0
remarkably,0
remarkable,4
remark,1
remaine,0
remainder,0
remain,5
rely,0
reluctance,0
rellish,0
sixth,0
relish,0
relinquished,1
religious,0
religion,0
relieved,0
vixenish,0
relieve,0
relict,0
servingmen,0
reliance,0
relentless,1
unheeded,0
releeue,0
vulcans,0
relection,0
relay,0
relatiue,0
relationship,0
relation,0
vnrighteous,0
related,0
rejoined,0
rejoinder,0
rejoin,1
rejection,0
reign,0
rehear,0
regulate,1
regularity,0
regular,0
register,3
regimental,0
regardless,0
regain,0
refusal,0
refuge,2
refreshment,0
refreshing,0
reforme,0
reform,0
refolde,0
reflectively,0
reflective,0
reflection,0
reflect,1
refinement,0
uncomplaine,0
tide,0
refined,0
refine,0
refill,0
referable,0
vigour,3
shatter,0
refer,1
reek,1
reef,1
redundancy,0
reduction,0
reduce,0
redress,0
redoubte,0
redistribute,3
redhead,0
redemption,0
redeliuer,0
xxxi,0
reddest,0
redden,1
recumbant,0
recrosse,1
recreation,0
tenacity,0
recovery,0
showre,0
recount,0
recouery,0
recouerie,0
recouer,0
warmly,0
recorder,0
reconsider,0
reconcilement,0
turkey,7
slop,0
recompensed,0
recommence,0
trustworthy,0
recollection,2
recollect,2
recognizance,0
recognise,3
swearer,0
reclose,0
reclamation,1
reclaimed,0
reckon,0
recklesse,0
reckless,0
reck,0
recital,0
reciprocate,0
recipe,0
recess,0
recently,0
recent,0
received,0
receiue,0
recapture,0
recant,0
tool,0
recame,0
recall,1
trafficker,0
rec,0
rebelliously,0
rebellion,0
reasonable,1
reare,0
rear,0
reappear,0
reap,0
vainly,0
scroll,0
realme,0
really,5
realise,0
realisation,0
real,2
reak,0
ready,9
reading,2
readinesse,0
readiness,0
readily,0
readie,0
sofa,2
reade,0
read,8
reaccuse,0
ray,1
roofed,0
ravenous,0
raven,0
rave,0
ravage,0
rauen,0
rauell,0
raue,0
spiky,0
rattle,1
ratle,0
trampling,0
rational,0
ratify,0
ratifier,0
rather,11
ratcliffe,0
substantial,1
ratcatcher,0
rashnesse,0
rashness,0
waggonload,0
rashly,1
rash,0
rascally,0
scornfully,0
rascall,0
rascal,1
rarest,1
rarely,0
rare,1
samaritan,0
rapturous,0
rapture,1
roe,0
rapsidie,0
rapier,0
rapidly,0
rapidity,1
rapid,3
rating,0
rapacity,0
rap,0
rant,0
rankly,0
ranke,0
range,3
repent,1
rang,0
revenue,1
random,0
rancour,0
rance,0
rampart,1
rampant,1
tavern,1
rampacious,0
ram,0
shambling,0
rally,1
rakishly,0
rake,1
tramp,0
raise,15
rais,0
raine,0
rain,2
railing,0
ragge,0
rage,1
radiant,1
racking,0
rackham,3
racke,0
rack,0
race,3
rac,0
rabble,0
rabbit,0
woodman,0
quoth,0
worke,0
uncurtained,1
quixotic,0
quiver,0
quite,26
quit,0
quire,0
quince,0
quietus,0
quietude,0
quietly,0
quiet,5
quickness,0
quickly,3
quickened,0
quicken,1
quicke,0
riuer,0
question,8
quell,0
queen,1
quean,0
quay,0
quaver,0
quartern,1
quarry,0
tolerate,0
quarelle,0
wise,3
quantity,3
trap,0
quantitie,0
qualm,0
wretched,4
quality,2
qualify,0
qualified,0
tinkler,0
quaintly,0
quaint,1
quail,0
pythagora,0
pyrrhus,0
vagrant,0
ud,0
pyrrhu,0
pyramid,1
puzzle,0
puzel,0
putrefy,0
push,1
sullenly,0
purveyor,0
pursuit,1
pursuer,0
strode,0
pursued,0
pursue,7
pursuance,0
pursu,0
pursie,0
purposed,0
purpose,14
purpos,0
purple,0
purity,0
superstition,0
purge,0
purgatory,0
purgation,0
purely,0
pure,1
purchase,1
purchas,0
purblind,0
puppet,0
receiver,1
pupil,0
rood,0
puny,0
punto,0
punitive,1
punisht,0
punishment,2
taking,0
singularly,1
punishable,0
sharpen,0
punish,0
punctuation,0
punctually,0
punctual,0
pump,0
pulse,3
pulsation,0
pulpit,0
pulling,1
pul,0
puh,0
pudding88,1
pudding,11
publish,3
publike,0
publicly,0
publicity,0
publican,0
public,10
pub,0
yase,0
psalm,0
prythee,0
prying,0
pry,0
prudently,0
prudence,0
proxy,0
prowl,0
thy,4
prowd,0
provocation,0
provision,3
tween,0
providence,0
refus,0
provide,18
proverb,0
theatre,0
provender,0
prove,1
prouoke,0
prouinciall,0
prouidence,0
prouerbe,0
proudest,0
prouder,0
proud,1
prou,0
protract,0
rejoice,3
protestation,0
protestant,0
protege,0
protectress,0
protector,0
protection,0
protect,2
prostration,0
strung,0
pross,0
prosperously,0
prosperous,0
widg,0
prospering,0
prospered,0
shading,0
prospective,0
prosecutor,0
prosecution,0
proscription,0
prorogue,0
propriety,0
proprietary,1
tray,0
reele,0
proposition,0
proposer,0
tether,0
proposal,0
proportionately,0
proportionate,0
proportion,1
propitiate,0
prophetic,0
prophet,1
thwart,0
prophesie,0
prophecy,0
prophanely,0
prophane,0
racehorse,1
propertie,0
properly,0
properer,0
propensity,0
skreek,1
propagate,0
prop,0
proofe,0
proof,0
pronunciation,0
pronounc,0
prone,0
promptness,0
promptitude,0
prompter,0
prompt,0
promotion,1
void,1
school,3
promising,0
thursday,0
sputter,1
promise,7
prominent,0
prolonged,0
prolong,0
xliii,0
prologue,0
prolixity,0
prolific,0
projector,0
projectile,0
widely,0
prohibit,0
progresse,0
progress,1
program,0
venetian,0
profound,1
profligate,0
profligacy,0
profile,0
proficiency,0
wail,0
servingman,0
proffer,1
professor,1
profession,0
profess,1
profane,0
prof,0
productivity,0
production,1
prodigious,0
prodigal,0
procure,1
proclamation,0
proclaime,0
proclaim,1
processor,0
procession,1
processe,0
felony,0
fellowe,0
wrapper,2
exhausted,1
felicitously,0
feigning,0
vnskilfull,0
frolicsome,0
feign,1
feeling,2
feel,17
secrete,0
feebler,0
folio,0
feature,3
clapping,2
feasting,0
errand,0
feast,3
feasible,0
fearfully,0
fear,5
extraneous,0
disclaim,2
favour,3
niobe,0
cask,2
up,0
traffic,0
faugh,0
turke,0
fatigues,1
quieter,0
buff,3
fatal,0
fat,4
fashioned,1
yokel,0
fascinated,0
extended,0
clown,0
gaspard,0
players,0
mantel,0
farme,0
thinning,0
farm,0
farewell,0
felt,0
earl,0
forsworn,0
fantasticke,0
fantasie,0
assembled,0
fate,2
seuen,0
fanciful,0
extrauagant,0
family,14
mentally,0
throstle,0
faltered,0
presumption,0
falsehood,0
falne,0
tutor,0
apprehensive,1
falconer,0
laura,0
erstare,0
improved,0
faintly,2
mourn,1
fainter,0
shuddering,0
faine,0
lairy,0
fan,3
sever,0
faile,0
assurance,0
parcel,1
fagid,0
fact,3
fraternal,0
xviii,0
suffocation,0
roofe,0
facility,1
professionally,0
amiably,0
musicke,0
safely,0
fabulous,0
fabled,0
scamper,0
ejaculated,0
eyesight,0
fundraising,1
transfixed,0
eyes,1
blowing,0
injure,0
holde,0
eyebrow,2
eye,37
slim,0
reveller,1
exult,1
droppeth,0
adhere,0
extricate,0
persuasively,0
extravagantly,0
denunciation,0
extraordinary,1
remittance,0
eden,0
extraction,0
extortion,0
parrot,2
extort,0
pooh,2
pudde,1
extinguisher,3
sooty,1
extend,0
inconsiderable,0
humanely,0
exquisite,0
secricie,0
blooming,0
expressively,0
priest,0
expression,4
explore,0
explaining,0
expire,0
collect,0
picnic,0
webs,0
slightest,0
bible,0
repair,1
disfigure,0
mirror,1
expense,3
candles,0
munching,0
expedient,0
expectation,2
invariable,0
expectant,1
expectancy,0
female,0
vnripe,0
handkerchief,0
outliue,0
expand,0
cachet,0
noon,1
exonerate,0
exhaust,1
executive,1
execration,0
gruel,3
imediate,0
dowdy,0
bag,2
ailing,0
unaccustomed,0
insulter,0
exclamation,0
bloodshed,0
excite,1
illustrationsxi,1
excess,0
correctness,0
inoble,0
practise,0
equall,0
excellent,1
assembly,0
tellson,0
overspread,0
pricksong,0
excellence,0
wicious,0
deferentially,0
cheefely,0
examine,2
examination,0
eagerness,2
ewes,0
evolution,0
evoke,0
everlasting,0
illustrious,1
evergreen,1
ever,32
evasive,0
blackin,0
evasion,0
metal,1
waddin,0
mildewy,0
evaporate,0
432,0
evanescence,0
evaded,0
euill,0
blockout,1
outlandish,0
euidence,0
fraud,0
town,8
euer,0
nether,0
etext99,0
congenial,1
lunacy,0
etext90,0
eternally,0
eternall,0
fool,2
satin,0
fayl,0
conuoy,0
success,1
estrangement,0
estimable,0
iawe,0
tyranny,0
essentially,0
essay,0
nonproprietary,1
especiall,0
escort,1
poulter,2
spelling,0
drain,0
erruption,0
error,1
fogel,0
erlook,0
bunch,1
intimately,0
er,1
soueraigne,0
equivalent,0
juryman,0
equipage,0
offendendo,0
witte,0
equal,1
slipshod,1
rip,0
eventually,0
steepe,0
epubs,0
betroth,0
superfluous,0
millions,0
relic,0
face,38
amen,0
laced,0
enviable,0
entreated,0
entrap,0
vote,0
entity,3
knelt,1
entitle,0
imprecation,0
rasher,0
incline,3
foregone,0
polished,1
save,5
enthrone,0
predominate,0
entertainment,0
carowse,0
shooke,0
remembered,0
kist,0
comforted,0
enterprize,0
phrase,4
enter,12
entangle,0
olfactory,0
easterne,0
appraise,1
bedside,0
encumber,0
enlarge,0
ercover,0
vow,0
moroseness,0
expert,0
impotent,0
engend,0
edu,0
engag,0
doleful,0
contumely,0
enrich,0
battle,1
vary,0
fall,19
plant,0
enforc,0
unshorn,0
carelessly,1
abhominably,0
125,1
endue,0
endow,0
pricke,0
endite,0
pratling,0
encouragement,0
encouraged,0
login,0
schoolboy,1
encorp,0
fade,5
suicidal,0
assailant,0
giuen,0
noose,0
encompassement,0
enclose,0
whil,0
rest,10
festivity,1
enchantment,0
frighten,2
encamp,0
fashionable,1
trumpets,0
sheet,3
platforme,0
gouerne,0
sinner,1
eatables,0
contemporary,0
emulative,0
belief,1
blame,1
empty,2
employ,1
emphatically,1
canal,0
numerous,1
emperor,0
shoeless,0
dismal,5
confusedly,0
emotion,5
starlight,0
postillion,0
widowhood,0
emissary,0
shoreditch,0
emergency,0
budge,0
wert,0
miss,6
embroidery,0
crackle,1
prominently,2
bleed,0
unsubstantial,0
embrasure,0
embrac,0
miscellaneous,1
uncertain,1
scarred,1
embarrassment,0
entreaty,2
embarrassed,1
assassin,0
reuel,0
nightly,0
emanate,0
launcelet,0
elysium,0
elsonower,0
suppression,0
endangered,0
elongate,0
feete,0
comming,0
ell,0
contact,4
endure,0
horrid,0
elicited,1
elicit,0
circumstantial,0
chaste,0
elevation,0
110,1
troubling,0
fortress,0
elevating,0
riband,0
anticipation,0
patronise,0
consolidation,0
elephant,0
crie,0
element,0
courtesy,0
elegantly,0
therefrom,0
rooted,0
bother,1
stones,0
ensign,0
election,0
jeffrie,0
elect,1
nut,1
elate,0
consistently,0
likeliehood,0
either,5
collier,0
eightieth,0
eight,2
champ,0
eielid,0
whistle,1
eie,0
bombazeen,0
efficacy,0
effeminate,0
effectual,0
eager,2
enchanted,0
instant,5
eene,0
wreak,0
stronghold,1
bolt,1
eeeeee,1
nervousness,0
educational,1
crippling,0
education,0
farming,0
soberer,0
glasse,0
edifice,0
sardanapalus,0
ablution,0
loue,0
eddy,0
ectasy,0
utterly,0
effective,0
spade,1
eche,0
sweeping,0
ecclesiastic,0
eccentricity,0
ebook,20
ebb,0
promo,0
eating,0
chucking,0
anythink,0
unlook,0
eastward,0
cheeke,0
decidedly,0
88,1
encampment,0
sensitive,0
scarecely,0
reassure,0
adjoining,1
novelty,0
easter,0
hunk,0
easily,2
expostulate,0
kinsmen,0
thought,13
easier,0
exempt,2
choppine,0
saint,0
ease,1
diffidence,0
earthquake,0
presents64,1
earthenware,0
caldron,0
earth,6
earn,0
stone,9
kille,0
foreknow,0
eagle,0
firearm,0
forenoon,0
dwindled,1
surveying,1
dwell,0
dutie,0
duteous,0
pitiable,0
dusty,1
crave,0
dolt,0
nestor,0
fee,12
foul,2
martlet,0
scratch,3
graces,0
wash,2
taske,0
dump,0
muttered,0
postscript,0
frightened,0
dumbe,0
pavement,3
dullness,0
dug,0
telegraph,0
hunt,0
inadvertently,0
ducats,0
seaward,0
grew,0
dubious,0
counteract,0
laertes,0
drunk,1
alarm,3
perillous,0
drummer,0
drugge,0
drown,0
naturally,0
drossie,0
effect,2
infant,1
droll,0
driving,0
enuy,0
infamy,0
monthe,0
bore,4
drip,1
deep,7
exclude,0
drinking,0
indemnify,1
sufficiently,0
jacket,0
drinker,0
drink,6
drill,0
pertain,0
dressing,3
cabriolet,0
outspoken,0
didst,0
dreg,0
tardily,0
dulcet,0
molten,1
murrain,0
seats,0
fardle,0
attendeth,0
atomic,0
dreamed,1
http,10
dissembler,0
dreame,0
illustrator,1
elm,0
burial,2
sincere,0
medicine,0
dreadfull,0
drawn,0
profaner,0
98,1
mentioning,0
dialect,0
sconce,0
draw,11
fal,0
wants,0
duellist,0
drapery,0
devotedly,0
destination,0
swart,0
drank,0
fellowship,0
encompasse,0
road,5
father,17
drover,0
dragging,0
dragged,0
wearily,0
drag,4
dr,2
dozen,5
privy,0
cornet,0
chaplesse,0
downiest,0
idiot,1
skins,0
estimation,0
northerly,0
downe,0
mistrust,0
three,22
dowerless,1
wrangling,0
tossed,0
dover,0
fallie,0
iudgement,0
drinke,0
wormwood,0
duty,0
dove,0
holler,0
holiness,0
feather,3
drunkenness,0
doubt,13
deception,0
derive,3
variation,0
crookedly,0
perform,5
doublet,0
subsist,0
experienced,0
together,12
double,3
acquisition,0
siluer,0
measure,1
dote,0
dost,0
eminence,0
ordenance,0
dozed,0
dormant,0
rode,0
doorstep,1
certaintie,0
doorless,0
countess,1
betwixt,0
door,47
xlvii,0
encrease,0
colloquy,0
hymn,0
doomsday,0
doome,0
healer,0
doom,2
excruciating,0
headless,0
sale,1
quartette,0
domino,0
unfortunately,0
steward,0
squirrel,0
dome,0
crisis,0
doll,1
drownes,0
peacefully,0
dole,0
network,1
tip,0
inmost,0
pinch,1
disk,1
acquire,0
grater,0
precede,2
eagerly,0
incestuous,0
doff,0
concede,0
fainting,0
reassurance,0
inexecrable,0
dodged,0
rounder,0
dodg,0
garnished,0
mare,0
commendable,0
rope,0
dish,2
refrain,0
rail,1
extravagant,1
defective,3
respect,1
docs,0
adjacent,0
dockyard,0
docile,0
dobbin,0
barr,0
pocky,0
rush,1
encomium,0
divorce,0
expansion,0
crime,1
iust,0
waistcoat,7
ieere,0
norway,0
trees,0
divinity,0
diversity,0
diversify,0
minde,0
121,1
wage,1
dropping,0
div,3
alacrity,0
achieve,1
taunt,0
gibbet,0
gnaw,3
diuide,0
pear,2
decayer,0
distrust,0
export,1
diet,0
incredulity,0
drew,0
distribute,19
vivacious,0
distress,1
bedrid,0
sustainable,0
eyeless,0
walkt,0
empire,0
distracting,0
stillness,0
liberal,1
distract,1
auditor,0
distinction,0
distinct,2
sidle,2
infold,0
duff,0
reluctant,0
distill,0
dissuade,0
dissolve,1
advise,0
dissolute,0
countrey,0
condole,0
liked,0
dissipate,0
enumerate,0
robinson,1
dissatisfied,0
criminal,0
disreputable,0
reference,3
conceal,2
jocosely,0
ducat,0
obstinate,0
timorous,0
seneca,0
monseigneur,0
unnat,0
dispriz,0
conuey,0
displant,0
displace,2
establish,1
reuisit,0
dispense,0
star,1
ros,0
126,1
dispensary,0
vnmixt,0
girle,0
disobedient,0
alley,1
bailey,0
dismissal,0
dismayed,1
darkness,7
dismally,0
virtues,0
restore,2
falconbridge,0
dismall,0
dislike,2
cope,0
disioynt,0
qu,0
idler,0
peppercorn,0
disinherit,0
disinclination,0
dishonour,0
uniform,1
ment,0
movable,1
toilette,0
disguise,0
mine,4
disguis,0
crook,0
disfigurement,0
alteration,3
bundle,5
englishman,0
dreamer,0
season,5
elsenour,0
discretion,0
discovery,0
covert,0
aslant,0
clergy,0
partizan,0
discourse,0
wital,0
discouery,0
discord,0
gratuitous,0
pleasures,0
discontinue,1
discolour,0
ent,0
disclosure,0
insensate,0
disclo,0
helpfull,0
pate,0
cane,0
hare,0
discharged,0
educate,0
dobody,0
discharg,0
discern,0
discard,0
fair,4
disproportionate,0
resist,1
lippincott,1
gratify,0
presure,0
agne,0
humours,0
disappointing,0
disappointed,1
plaster,2
warbled,0
disappoint,0
dirtiest,0
exterior,0
whoreson,0
tripolis,0
directress,0
escape,2
drily,0
director,1
coarse,1
impressed,0
exchange,2
directly,2
undiminished,0
comprehend,0
comprehension,0
bachelor,2
hollowness,0
tail,3
dip,1
boy,40
questionable,0
groundsel,0
hint,3
examiner,0
frank,1
watchword,0
dining,1
shrift,0
outcast,1
dingy,2
widow,0
stooping,0
dingiest,0
jocund,1
ding,5
din,0
rested,0
nook,0
expediency,0
convenience,1
reality,1
rainy,0
diminutive,0
diminish,1
buyes,0
misshapen,0
dim,2
thee,0
absolv,0
moiety,0
turning,1
maternal,0
proviso,0
digress,0
dignify,0
compost,0
transportation,0
deathlike,0
feeding,0
flour,1
digest,0
dig,1
exploit,0
iowle,0
lamp,6
ro,0
conjure,0
belt,3
fauourite,0
distorted,0
different,2
twould,0
dietary,0
kindest,0
idiomatic,0
diest,0
fertility,0
shareware,0
dido,0
diddest,0
lop,0
shepherd,0
dictionary,0
sticke,0
prodigiously,1
despondent,1
unsettled,0
felicity,0
belike,0
dickens,3
inkstand,0
wink,3
weekly,1
prosper,0
dick,8
veyle,0
87,1
cheefest,0
dian,0
diamond,0
54,1
diadem,0
entreatment,0
haply,0
27,1
uncork,0
additionally,0
dew,0
devout,0
voltemand,0
particularly,2
drearily,0
devote,1
devolve,0
insinuation,0
devil,1
ember,0
crust,0
stout,0
shapen,0
committee,0
device,0
development,1
ayme,0
feate,0
correspondence,0
deuis,0
janet,2
pail,0
gurgle,0
erta,0
extent,2
remonstrance,0
determined,0
detection,0
outwardly,0
dice,0
detain,1
ensnare,0
detachment,0
destructive,0
labour,4
destruction,0
neighbour,1
scullion,0
destiny,0
blind,9
beares,0
meekly,0
noiseless,0
die,16
destine,0
ferret,1
despondingly,0
mail,1
despondency,0
notoriety,0
polon,0
wonderfull,0
desperate,1
hugh,0
despatched,0
piteous,0
deske,0
inexperienced,0
openly,0
wile,0
desirous,0
eminent,0
garden,1
desir,0
nursing,0
designing,0
conkey,0
indignity,0
life,28
deserved,0
revival,0
despond,0
bean,0
desertion,0
turnpike,0
deserting,0
desert,2
minim,0
don,0
descript,0
regeneration,0
enterprise,0
italic,0
thunder,2
describe,2
dust,2
irritation,0
perch,0
descending,0
ignominious,0
talkers,0
descendant,0
block,3
chord,0
gesture,0
echo,4
decrease,2
desart,0
drunkard,0
deriding,0
unfold,0
consequential,1
solemnise,1
der,1
deputy,0
sharpness,0
arched,0
america,0
depth,1
drawl,0
deprivation,0
depriv,0
americans,0
depriue,0
depriu,0
chocolate,0
mainly,0
refresh,0
dishonourable,0
depressed,1
eternal,0
decisive,0
abram,0
prefix,0
dacious,0
deprecate,0
ernest,0
depositor,0
explainin,0
deposit,1
deplore,0
deplorable,0
within,13
trebble,0
hankerchief,0
depend,2
departure,0
kag,0
department,0
saye,0
depart,2
denying,0
peered,0
witticism,0
dentify,0
stockade,0
dismay,1
densely,0
denounce,0
denominate,0
denizen,0
denial,0
extreamity,0
unconstraine,1
fixion,0
hazard,0
demur,0
1595,0
demonstrative,0
assaid,0
dishclout,0
ungently,0
demonstrate,0
demoniacal,0
desire,5
dearer,0
quivered,0
filter,0
titter,0
demolition,0
castanet,0
empannelle,0
demogalized,0
demente,0
elbow,2
twofold,0
demean,0
witching,0
delusion,0
deluge,0
deluer,0
earnestly,0
bondage,0
imitate,0
impetus,0
delirious,0
discrimination,0
delighted,1
incense,1
delight,7
song,4
deliciousness,0
delicate,1
textual,0
encircle,0
farthe,1
freak,0
deliberation,0
pistol,0
deliberately,0
decline,0
deliberate,1
deprive,1
guess,3
reueng,0
dejectedly,0
86,1
extermination,0
deiect,0
cheerless,0
seemly,0
degrading,0
tucket,0
degrade,0
distiller,0
bill,1
deftly,1
whipper,0
deflower,0
alack,0
definite,0
define,0
arrangement,0
facilitate,0
busy,5
drawbridge,0
suffered,0
deficient,0
defiance,1
fallen,0
generosity,0
costly,0
falshood,0
grandeur,0
plummy,0
agile,0
jade,0
mayst,0
feebly,1
ramble,0
personal,0
deepe,0
differ,0
brisk,2
jemmy,0
faint,1
gibbe,0
dispatcht,0
tyrant,0
deduce,0
decrepitude,0
chuckle,6
unmingled,0
adorn,0
suffice,0
decreed,0
signal,0
passe,0
positive,1
suburb,1
decomposition,0
tick,0
deck,1
vnmanly,0
uproar,0
moth,0
decision,0
december,3
deceive,0
deceiue,0
mutton,0
enjoy,2
desist,0
115,1
rive,0
hastily,0
receiu,0
inveterate,0
twaine,0
dirty,2
sunbury,0
substituting,0
decayed,0
debtor,1
dervish,0
goodwin,0
deeply,0
debauch,0
implore,1
lenient,0
debating,0
gentleman,26
debatement,0
drowne,0
shrew,0
clock,12
south,0
debase,0
deathbed,0
rind,0
entrust,0
fully,1
dearly,1
exultingly,0
secure,2
remove,6
analyse,0
interval,0
respiration,0
dealer,1
tiger,1
absent,0
work,94
org,13
deaf,0
teaspoon,1
forfeit,3
deadly,0
daysie,0
days,1
proofread,3
daydream,0
corpulent,0
eve,5
day,52
spoake,0
clouds,0
bracket,0
tuner,0
dilemma,0
destitute,1
fervency,0
stow,0
dawkins,0
francis,0
obtrude,0
date,3
darle,0
mouth,7
darkie,0
13,1
dar,0
shooter,0
danish,0
ambuscadoe,0
dane,0
barnardo,0
caveat,0
dance,12
ruinate,0
assured,0
anckle,0
baptista,0
computer,4
enormous,1
whitespace,0
fie,0
damascus,1
steele,0
damage,8
unconscious,1
dyeing,0
velveteen,0
admittance,0
partisan,0
zeal,1
daily,0
limp,0
daffy,0
dadsy,0
mediately,0
cuttry,0
identification,1
sawes,0
perished,0
deere,0
diver,0
cutpurse,0
ioyfully,0
tincture,0
ioyntresse,0
advan,1
conjecture,0
discussion,0
customer,1
dovehouse,0
beast,0
customary,0
curve,0
curtsy,1
obstinater,0
curtsey,0
disciple,0
curses,0
curse,0
episcopal,0
curs,0
current,1
emotional,0
regreet,0
curling,0
bewept,0
pushed,0
curiosity,1
curfew,0
tassel,2
cure,0
cur,0
signifieth,0
narrowly,0
worn,0
cupboard,0
culprit,0
fadom,0
exployt,0
hart,2
culpability,0
darn,1
climax,0
cheerful,9
cull,0
creditor,1
curd,0
guineas,0
guift,0
uphold,0
cuff,2
cue,0
sence,0
dignity,0
cud,0
cuckoo,0
euermore,0
dexterity,0
cub,0
css,2
trow,0
dignified,0
delivering,0
slipper,3
crowing,0
soone,0
carnegie,0
influence,4
kinne,0
cryer,0
crye,0
emblem,1
impregnate,0
crash,1
declension,1
beauvais,0
goaded,0
cry,56
crutch,3
jarvis,0
pilotage,0
et,0
encombre,0
infaith,0
april,0
crunch,0
excrement,0
knocker,7
earthen,0
crumble,0
grievous,0
cruelty,0
billow,0
fatnesse,0
cruell,0
thanksgiving,0
design,1
cruel,0
vpspre,0
crown,4
crowkeeper,0
reason,5
ee,0
gift,0
crowbar,0
confused,1
unanimity,1
tackle,0
cerimony,0
ache,2
easinesse,0
momentary,1
crost,0
gladden,0
pharisee,0
descended,0
decay,1
sweaty,0
crop,0
crooke,0
croak,0
critical,1
berry,3
pomp,0
musty,0
visibly,0
crisp,2
domicile,0
cripple,2
prov,0
crimson,0
cordially,1
becomes,0
earnest,2
disdain,0
blasting,0
suffocate,0
faire,0
swallow,3
cribbage,0
333,0
breathed,0
summe,0
cop,0
crestfallen,0
started,0
curious,0
lippe,0
creeturs,0
creepe,0
creep,1
multifarious,0
creek,1
dreadful,4
freeze,1
cursie,0
flatly,0
creditors,0
glint,0
watchful,0
corporation,2
purg,0
credential,2
credent,0
eane,0
create,6
pencil,1
diverge,0
creasing,0
walton,0
eate,0
brothers,0
largely,0
bribe,0
internally,0
especial,1
manif,0
merciful,1
vngartre,0
tediousnesse,0
packthread,0
politician,0
crape,0
distant,0
wretche,1
arthur,3
cramp,1
craftily,0
adjoin,0
cradle,0
frequent,0
euent,0
daughter,9
defy,1
lordship,0
crackit,0
den,1
cozen,0
blot,1
coynage,0
present,16
creation,3
cowered,0
fare,0
dive,1
ebooks,2
cowardice,0
week,3
sheltered,0
fancie,0
covetous,2
workshop,0
kneed,0
leathern,0
repeat,6
means,0
true,6
entreat,1
bauble,0
reg,0
covent,0
withdrawing,1
thã,0
cousin,2
cousend,0
welfare,2
danc,0
2px,5
cousen,0
workmanship,0
mutinous,0
courteous,0
poet,0
resemble,0
repentance,1
court,6
courier,0
shelfe,0
oaths,0
expostulation,0
apostrophe,0
courb,0
manfully,0
courageous,0
byrlady,0
dependent,0
fixedly,1
countrymen,0
disagree,0
grated,0
countless,0
pretended,0
counterpart,0
countermine,0
suite,1
counterfet,0
impittious,0
conquest,0
counterfeit,0
workman,0
enquire,0
forraigne,0
decorate,1
counsellor,0
creetur,0
audience,0
deficiency,0
anybody,6
lazar,0
couldst,0
turnham,0
tedious,0
peel,1
cough,0
cou,0
regrinding,0
cottager,0
expensive,0
damien,0
driveth,0
mellon,0
mildness,0
deserted,0
enow,0
muddle,0
cosmetic,0
stroake,0
chertsey,0
cosin,0
political,0
drab,0
corruptly,0
puff,0
presentment,0
drift,0
corruption,0
corroboration,0
dictate,0
pleasantry,1
declaim,0
corresponding,0
inhale,0
vnnerue,0
enjoin,0
jogging,0
unseasonable,0
demurely,1
implacably,0
corporall,0
distilment,0
excepted,0
lorenzo,0
deepely,0
ste,0
coronet,0
coronation,0
funerall,0
process,1
